X                       ,Y                       ,T   
7.199999999999999734e-01,2.400000000000000050e-02,3.525308999999999742e+02
7.379999999999999893e-01,2.400000000000000050e-02,3.525221000000000231e+02
7.560000000000000053e-01,2.400000000000000050e-02,3.525122000000000071e+02
7.740000000000000213e-01,2.400000000000000050e-02,3.525011000000000081e+02
7.920000000000000373e-01,2.400000000000000050e-02,3.524889000000000010e+02
8.100000000000000533e-01,2.400000000000000050e-02,3.524751999999999725e+02
8.279999999999999583e-01,2.400000000000000050e-02,3.524601000000000113e+02
8.459999999999999742e-01,2.400000000000000050e-02,3.524436000000000035e+02
8.639999999999999902e-01,2.400000000000000050e-02,3.524254999999999995e+02
8.820000000000000062e-01,2.400000000000000050e-02,3.524060000000000059e+02
9.000000000000000222e-01,2.400000000000000050e-02,3.523851000000000226e+02
1.799999999999999864e-02,2.999999999999999889e-02,3.482692999999999870e+02
3.599999999999999728e-02,2.999999999999999889e-02,3.482864999999999895e+02
5.399999999999999939e-02,2.999999999999999889e-02,3.483029000000000224e+02
7.199999999999999456e-02,2.999999999999999889e-02,3.483183000000000220e+02
8.999999999999999667e-02,2.999999999999999889e-02,3.483326999999999884e+02
1.079999999999999988e-01,2.999999999999999889e-02,3.483460000000000036e+02
1.260000000000000009e-01,2.999999999999999889e-02,3.483584000000000174e+02
1.439999999999999891e-01,2.999999999999999889e-02,3.483697999999999979e+02
1.620000000000000051e-01,2.999999999999999889e-02,3.483802000000000021e+02
1.799999999999999933e-01,2.999999999999999889e-02,3.483897000000000048e+02
1.980000000000000093e-01,2.999999999999999889e-02,3.483983000000000061e+02
2.159999999999999976e-01,2.999999999999999889e-02,3.484062000000000126e+02
2.340000000000000135e-01,2.999999999999999889e-02,3.484132000000000176e+02
2.520000000000000018e-01,2.999999999999999889e-02,3.484195000000000277e+02
2.700000000000000178e-01,2.999999999999999889e-02,3.484250999999999863e+02
2.879999999999999782e-01,2.999999999999999889e-02,3.484300999999999817e+02
3.059999999999999942e-01,2.999999999999999889e-02,3.484345000000000141e+02
3.240000000000000102e-01,2.999999999999999889e-02,3.484383000000000266e+02
3.420000000000000262e-01,2.999999999999999889e-02,3.484415000000000191e+02
3.599999999999999867e-01,2.999999999999999889e-02,3.484442999999999984e+02
3.780000000000000027e-01,2.999999999999999889e-02,3.484465000000000146e+02
3.960000000000000187e-01,2.999999999999999889e-02,3.484483000000000175e+02
4.139999999999999791e-01,2.999999999999999889e-02,3.484495999999999754e+02
4.319999999999999951e-01,2.999999999999999889e-02,3.484504999999999768e+02
4.500000000000000111e-01,2.999999999999999889e-02,3.484508999999999901e+02
4.680000000000000271e-01,2.999999999999999889e-02,3.484508999999999901e+02
4.859999999999999876e-01,2.999999999999999889e-02,3.484504999999999768e+02
5.040000000000000036e-01,2.999999999999999889e-02,3.484495999999999754e+02
5.220000000000000195e-01,2.999999999999999889e-02,3.484483000000000175e+02
5.400000000000000355e-01,2.999999999999999889e-02,3.484465000000000146e+02
5.580000000000000515e-01,2.999999999999999889e-02,3.484442999999999984e+02
5.759999999999999565e-01,2.999999999999999889e-02,3.484415000000000191e+02
5.939999999999999725e-01,2.999999999999999889e-02,3.484383000000000266e+02
6.119999999999999885e-01,2.999999999999999889e-02,3.484345000000000141e+02
6.300000000000000044e-01,2.999999999999999889e-02,3.484300999999999817e+02
6.480000000000000204e-01,2.999999999999999889e-02,3.484250999999999863e+02
6.660000000000000364e-01,2.999999999999999889e-02,3.484195000000000277e+02
6.840000000000000524e-01,2.999999999999999889e-02,3.484132000000000176e+02
7.019999999999999574e-01,2.999999999999999889e-02,3.484062000000000126e+02
7.199999999999999734e-01,2.999999999999999889e-02,3.483983000000000061e+02
7.379999999999999893e-01,2.999999999999999889e-02,3.483897000000000048e+02
7.560000000000000053e-01,2.999999999999999889e-02,3.483802000000000021e+02
7.740000000000000213e-01,2.999999999999999889e-02,3.483697999999999979e+02
7.920000000000000373e-01,2.999999999999999889e-02,3.483584000000000174e+02
8.100000000000000533e-01,2.999999999999999889e-02,3.483460000000000036e+02
8.279999999999999583e-01,2.999999999999999889e-02,3.483326999999999884e+02
8.459999999999999742e-01,2.999999999999999889e-02,3.483183000000000220e+02
8.639999999999999902e-01,2.999999999999999889e-02,3.483029000000000224e+02
8.820000000000000062e-01,2.999999999999999889e-02,3.482864999999999895e+02
9.000000000000000222e-01,2.999999999999999889e-02,3.482692999999999870e+02
1.799999999999999864e-02,3.599999999999999728e-02,3.445937000000000126e+02
3.599999999999999728e-02,3.599999999999999728e-02,3.446082000000000107e+02
5.399999999999999939e-02,3.599999999999999728e-02,3.446220999999999890e+02
7.199999999999999456e-02,3.599999999999999728e-02,3.446354000000000042e+02
8.999999999999999667e-02,3.599999999999999728e-02,3.446478999999999928e+02
1.079999999999999988e-01,3.599999999999999728e-02,3.446596000000000117e+02
1.260000000000000009e-01,3.599999999999999728e-02,3.446707000000000107e+02
1.439999999999999891e-01,3.599999999999999728e-02,3.446809000000000083e+02
1.620000000000000051e-01,3.599999999999999728e-02,3.446904999999999859e+02
1.799999999999999933e-01,3.599999999999999728e-02,3.446992999999999938e+02
1.980000000000000093e-01,3.599999999999999728e-02,3.447074000000000069e+02
2.159999999999999976e-01,3.599999999999999728e-02,3.447148000000000252e+02
2.340000000000000135e-01,3.599999999999999728e-02,3.447214999999999918e+02
2.520000000000000018e-01,3.599999999999999728e-02,3.447275999999999954e+02
2.700000000000000178e-01,3.599999999999999728e-02,3.447330999999999790e+02
2.879999999999999782e-01,3.599999999999999728e-02,3.447379999999999995e+02
3.059999999999999942e-01,3.599999999999999728e-02,3.447423999999999751e+02
